issue_id,journal_id,user,notes,created_on,details,property,name,old_value,new_value
208276,1855260,Gemima de Freitas Machado Muniz,,2025-05-06 20:18:41,"[{'property': 'attr', 'name': 'assigned_to_id', 'old_value': '1802', 'new_value': '733'}, {'property': 'attachment', 'name': '317577', 'new_value': 'DAC tkt 208189.xlsx'}]",attr,assigned_to_id,1802,733
208276,1855678,Rosana Machado Araújo Cardoso,,2025-05-07 14:10:51,"[{'property': 'attr', 'name': 'assigned_to_id', 'old_value': '733', 'new_value': '2072'}, {'property': 'attr', 'name': 'status_id', 'old_value': '154', 'new_value': '155'}]",attr,assigned_to_id,733,2072
208276,1855694,Rosana Machado Araújo Cardoso,Solicitação atendida conforme LOG em anexo.,2025-05-07 14:34:50,"[{'property': 'attr', 'name': 'assigned_to_id', 'old_value': '2072', 'new_value': '1802'}, {'property': 'attr', 'name': 'status_id', 'old_value': '155', 'new_value': '30'}, {'property': 'attachment', 'name': '317643', 'new_value': 'FIPLANCarga de Dados_208276_01.txt'}]",attr,assigned_to_id,2072,1802
208276,1855835,Gemima de Freitas Machado Muniz,,2025-05-07 17:41:01,"[{'property': 'attr', 'name': 'status_id', 'old_value': '30', 'new_value': '5'}]",attr,status_id,30,5
208274,1855249,Gabriel Mendes de Souza,,2025-05-06 20:07:09,"[{'property': 'attr', 'name': 'assigned_to_id', 'new_value': '1670'}, {'property': 'attr', 'name': 'status_id', 'old_value': '154', 'new_value': '71'}]",attr,assigned_to_id,,1670
208274,1855813,Gabriel Mendes de Souza,,2025-05-07 17:20:40,"[{'property': 'attr', 'name': 'done_ratio', 'old_value': '0', 'new_value': '100'}, {'property': 'attr', 'name': 'status_id', 'old_value': '71', 'new_value': '73'}]",attr,done_ratio,0,100
208273,1855245,Ana Poly Ferreira da Silva,,2025-05-06 20:04:14,"[{'property': 'attachment', 'name': '317571', 'new_value': 'Teste Integrado - Incluir  Perfil - Ajustes largura colunas grids.docx'}]",attachment,317571,,Teste Integrado - Incluir  Perfil - Ajustes largura colunas grids.docx
208273,1855247,Ana Poly Ferreira da Silva,,2025-05-06 20:05:54,"[{'property': 'relation', 'name': 'relates', 'new_value': '198333'}]",relation,relates,,198333
208273,1855248,Ana Poly Ferreira da Silva,,2025-05-06 20:06:12,"[{'property': 'attr', 'name': 'assigned_to_id', 'old_value': '595', 'new_value': '2243'}, {'property': 'attr', 'name': 'status_id', 'old_value': '200', 'new_value': '156'}]",attr,assigned_to_id,595,2243
208273,1855287,Ana Poly Ferreira da Silva,Retirada a data prevista desenvolvimento copiado do ticket do alterar Perfil (Já com o desenvolvedor).,2025-05-06 20:33:04,"[{'property': 'cf', 'name': '237', 'old_value': '2025-05-07', 'new_value': ''}]",cf,237,2025-05-07,
